Jenis_Kelamin,Tinggi_Badan,Berat_Badan,Lahir,Ukur,Umur_Bulan
FEMALE,80.0,10.2,1993-07-09,1995-09-04,26.0
FEMALE,61.0,6.7,1995-05-12,1995-09-04,4.0
FEMALE,147.5,41.3,1960-04-02,1995-09-05,425.0
FEMALE,87.5,12.2,1991-10-29,1995-09-05,47.0
FEMALE,50.0,4.0,1995-08-07,1995-09-05,1.0
MALE,140.8,49.4,1970-03-16,1995-09-01,306.0
FEMALE,97.1,14.9,1990-09-09,1995-09-01,60.0
MALE,82.0,12.1,1992-07-21,1995-09-01,38.0
FEMALE,66.1,7.3,1994-09-16,1995-09-01,12.0
FEMALE,150.0,51.3,1976-02-28,1995-09-04,235.0
MALE,151.0,44.9,1961-07-17,1995-09-01,410.0
FEMALE,97.3,14.0,1990-07-07,1995-09-01,62.0
MALE,142.2,42.6,1964-02-12,1995-09-01,379.0
FEMALE,144.3,55.8,1966-02-16,1995-09-01,355.0
FEMALE,91.8,14.2,1990-08-22,1995-09-01,61.0
MALE,74.2,9.7,1993-07-19,1995-09-01,26.0
FEMALE,149.8,50.8,1977-03-13,1995-09-01,222.0
MALE,66.7,8.5,1994-11-16,1995-09-01,10.0
FEMALE,140.8,38.6,1968-07-15,1995-09-04,326.0
MALE,97.4,15.4,1990-07-24,1995-08-04,61.0
MALE,81.0,10.4,1992-05-19,1995-09-04,40.0
FEMALE,77.2,9.5,1992-05-19,1995-09-04,40.0
FEMALE,73.6,8.5,1994-01-22,1995-09-04,20.0
MALE,147.8,51.7,1968-08-25,1995-09-04,325.0
FEMALE,98.8,17.0,1991-01-14,1995-09-04,56.0
FEMALE,88.4,14.4,1992-08-22,1995-09-04,37.0
FEMALE,66.3,7.8,1994-10-03,1995-09-04,11.0
MALE,154.0,64.9,1973-07-30,1995-09-04,266.0
MALE,142.7,44.0,1971-12-18,1995-09-04,285.0
MALE,84.5,12.0,1992-03-15,1995-09-04,42.0
MALE,68.0,7.0,1994-05-07,1995-09-05,16.0
MALE,140.7,46.3,1968-07-13,1995-09-04,326.0
MALE,141.0,68.9,1960-10-25,1995-09-05,419.0
MALE,98.0,15.7,1990-06-12,1995-09-05,63.0
MALE,67.8,8.2,1994-04-14,1995-09-05,17.0
MALE,140.7,46.3,1966-03-15,1995-09-04,354.0
FEMALE,86.3,12.9,1992-01-13,1995-09-04,44.0
MALE,141.0,33.1,1972-03-12,1995-09-04,282.0
FEMALE,67.2,7.7,1994-06-25,1995-09-04,15.0
FEMALE,141.0,43.1,1971-11-21,1995-09-04,286.0
FEMALE,100.0,16.0,1990-06-10,1995-09-04,63.0
MALE,77.0,9.8,1993-03-10,1995-09-04,30.0
MALE,148.0,48.5,1960-05-21,1995-09-04,424.0
MALE,69.0,8.2,1994-02-04,1995-09-04,19.0
MALE,150.5,63.0,1965-02-16,1995-09-04,367.0
FEMALE,100.3,15.0,1990-01-04,1995-09-04,68.0
MALE,92.5,13.7,1991-10-18,1995-09-04,47.0
MALE,82.2,11.4,1993-09-04,1995-09-04,24.0
MALE,149.4,47.2,1963-05-25,1995-09-04,388.0
MALE,101.0,16.3,1992-05-20,1995-09-04,40.0
MALE,75.5,10.1,1993-12-08,1995-09-04,21.0
FEMALE,144.0,53.1,1973-12-12,1995-09-06,261.0
MALE,92.0,13.3,1991-02-02,1995-09-06,55.0
FEMALE,81.4,12.0,1992-12-23,1995-09-06,33.0
MALE,142.5,57.2,1969-07-26,1995-09-06,314.0
FEMALE,91.5,13.6,1991-01-01,1995-09-06,56.0
MALE,85.0,11.9,1992-08-01,1995-09-06,37.0
MALE,148.3,50.8,1969-01-24,1995-09-04,320.0
FEMALE,90.8,13.2,1991-04-17,1995-09-04,53.0
FEMALE,83.0,10.9,1992-08-10,1995-09-04,37.0
FEMALE,71.4,8.8,1994-05-17,1995-09-04,16.0
MALE,146.0,42.6,1966-06-05,1995-08-04,350.0
FEMALE,82.2,12.2,1991-10-11,1995-08-04,46.0
MALE,55.5,7.1,1995-05-11,1995-08-04,3.0
MALE,143.8,49.0,1973-12-24,1995-09-06,261.0
FEMALE,85.6,13.2,1993-05-22,1995-09-06,28.0
FEMALE,69.3,8.2,1994-02-14,1995-09-06,19.0
MALE,141.9,60.3,1965-02-28,1995-09-01,367.0
MALE,155.5,75.7,1967-07-17,1995-09-06,338.0
FEMALE,68.2,8.5,1994-08-19,1995-09-06,13.0
FEMALE,140.7,39.9,1969-09-17,1995-09-06,312.0
FEMALE,92.0,14.4,1991-12-25,1995-09-06,45.0
MALE,72.6,9.3,1994-03-28,1995-09-06,18.0
MALE,133.0,37.2,,1995-09-06,
MALE,150.5,65.3,1960-09-20,1995-09-06,420.0
MALE,95.0,13.1,1993-05-07,1995-09-06,28.0
MALE,148.2,54.0,1965-12-24,1995-09-06,357.0
MALE,95.3,14.7,,1995-09-06,
FEMALE,76.0,10.3,,1995-09-06,
MALE,56.8,6.0,1995-06-01,1995-09-06,3.0
MALE,142.0,46.3,1972-01-06,1995-09-06,284.0
MALE,145.0,47.2,1972-09-10,1995-09-06,276.0
