Jenis_Kelamin,Tinggi_Badan,Berat_Badan,Lahir,Ukur,Umur_Bulan
FEMALE,90.5,13.5,1990-10-06,1995-08-16,58.0
MALE,61.9,7.0,1995-04-01,1995-08-16,4.0
MALE,144.8,60.8,1963-09-16,1995-08-16,383.0
MALE,94.5,14.6,1991-05-21,1995-08-16,51.0
MALE,143.6,46.7,1974-04-02,1995-08-15,256.0
FEMALE,94.2,14.7,1991-02-14,1995-08-15,54.0
MALE,79.0,11.4,1992-10-28,1995-08-15,34.0
MALE,67.7,8.8,1994-07-23,1995-08-15,13.0
MALE,142.4,40.8,1969-05-11,1995-08-17,315.0
MALE,83.1,11.3,1990-12-29,1995-08-17,56.0
MALE,65.6,6.5,1994-09-10,1995-08-17,11.0
MALE,148.5,54.9,1975-04-02,1995-08-14,244.0
FEMALE,141.0,52.2,1959-11-21,1995-08-15,429.0
FEMALE,84.7,12.5,1992-08-21,1995-08-15,36.0
MALE,141.3,52.6,1971-09-18,1995-08-15,287.0
MALE,144.5,57.2,1962-12-01,1995-08-15,392.0
MALE,95.1,14.6,1991-03-24,1995-08-15,53.0
FEMALE,79.4,10.2,1993-04-25,1995-08-15,28.0
MALE,150.5,52.6,1974-05-28,1995-08-09,255.0
FEMALE,85.7,12.2,1992-07-31,1995-08-09,37.0
MALE,72.0,8.5,1993-11-06,1995-08-09,21.0
MALE,145.2,51.7,1964-10-26,1995-08-11,370.0
MALE,97.9,14.0,1990-11-01,1995-08-11,57.0
MALE,81.5,10.7,1993-05-20,1995-08-11,27.0
FEMALE,145.8,61.2,1965-03-28,1995-08-03,365.0
FEMALE,97.1,16.7,1990-09-01,1995-08-03,59.0
MALE,85.6,13.0,1992-04-03,1995-08-03,40.0
MALE,72.2,9.9,1993-12-28,1995-08-03,20.0
FEMALE,143.6,46.7,1972-09-07,1995-08-03,275.0
FEMALE,93.3,14.8,1991-11-20,1995-08-03,45.0
FEMALE,65.1,6.6,1994-10-28,1995-08-03,10.0
FEMALE,144.4,52.2,1976-11-01,1995-08-09,225.0
MALE,149.6,64.4,1964-04-17,1995-08-08,376.0
FEMALE,100.0,16.9,1990-05-19,1995-08-08,63.0
MALE,80.2,11.7,1992-05-29,1995-08-08,39.0
FEMALE,67.7,9.4,1994-07-24,1995-08-08,13.0
FEMALE,138.1,48.1,1975-10-09,1995-08-07,238.0
FEMALE,143.4,43.1,1966-07-25,1995-08-04,349.0
FEMALE,101.1,18.0,1990-12-15,1995-08-04,56.0
FEMALE,87.0,13.1,1992-11-07,1995-08-04,33.0
MALE,76.4,9.9,1993-10-21,1995-08-07,22.0
MALE,66.0,8.3,1994-12-15,1995-08-04,8.0
FEMALE,152.0,58.5,1963-03-28,1995-08-04,389.0
FEMALE,81.5,12.1,1992-11-02,1995-08-04,33.0
MALE,62.0,6.5,1994-12-13,1995-08-04,8.0
FEMALE,144.6,47.2,1959-10-20,1995-08-07,430.0
FEMALE,101.5,17.0,1990-05-02,1995-08-07,63.0
MALE,68.0,8.4,1994-09-20,1995-08-07,11.0
FEMALE,147.6,44.5,1974-05-14,1995-08-04,255.0
FEMALE,93.7,15.2,1991-07-20,1995-08-04,49.0
MALE,75.4,9.7,1993-06-01,1995-08-04,26.0
MALE,62.5,7.6,1995-02-25,1995-08-04,6.0
MALE,143.8,44.9,1967-08-09,1995-08-08,336.0
FEMALE,103.3,17.3,1990-07-07,1995-08-08,61.0
MALE,82.0,12.9,1991-10-03,1995-08-08,46.0
MALE,71.0,9.7,1993-10-18,1995-08-08,22.0
MALE,147.2,54.0,1971-04-04,1995-08-04,292.0
MALE,83.1,12.5,1992-09-27,1995-08-04,35.0
MALE,150.7,46.3,1976-01-26,1995-08-07,235.0
MALE,154.6,81.2,1976-01-01,1995-08-07,235.0
FEMALE,64.7,8.0,1995-02-01,1995-08-07,6.0
FEMALE,140.0,55.3,1974-03-10,1995-08-04,257.0
MALE,142.0,40.4,1964-10-22,1995-08-04,370.0
MALE,98.6,15.5,1990-09-10,1995-08-04,59.0
MALE,79.2,10.4,1993-03-10,1995-08-04,29.0
FEMALE,145.9,51.7,1968-08-13,1995-08-09,324.0
FEMALE,98.6,14.5,1990-06-14,1995-08-09,62.0
FEMALE,85.5,12.5,1992-04-24,1995-08-09,40.0
FEMALE,65.3,6.8,1995-01-16,1995-08-09,7.0
FEMALE,142.9,54.0,1973-06-29,1995-08-10,266.0
FEMALE,91.7,13.5,1991-04-21,1995-08-10,52.0
FEMALE,83.5,10.8,1993-03-04,1995-08-10,29.0
FEMALE,60.7,6.9,1995-03-31,1995-08-10,5.0
FEMALE,149.5,62.1,1965-06-05,1995-08-09,362.0
MALE,97.7,13.3,1991-02-28,1995-08-09,54.0
MALE,85.5,11.4,1992-05-02,1995-08-09,39.0
MALE,69.4,7.3,1994-02-12,1995-08-09,18.0
MALE,148.0,54.9,1976-01-02,1995-08-09,235.0
FEMALE,147.4,48.5,1976-12-15,1995-08-09,224.0
FEMALE,70.5,8.8,1994-12-24,1995-08-09,8.0
MALE,141.0,44.9,1966-12-13,1995-08-09,344.0
FEMALE,88.5,13.3,1991-09-28,1995-08-09,47.0
MALE,146.6,53.1,1975-02-02,1995-08-10,246.0
FEMALE,94.0,15.0,1991-11-11,1995-08-10,45.0
MALE,76.1,10.1,1993-07-15,1995-08-10,25.0
FEMALE,47.2,3.6,1995-07-19,1995-08-10,1.0
FEMALE,145.0,51.3,1968-10-24,1995-08-09,322.0
MALE,99.1,15.3,1990-04-05,1995-08-09,64.0
FEMALE,82.0,10.6,1992-07-27,1995-08-09,37.0
MALE,64.4,6.7,1994-12-26,1995-08-09,8.0
MALE,146.3,49.0,1973-01-06,1995-08-08,271.0
MALE,146.8,53.5,1970-03-25,1995-08-07,305.0
MALE,79.5,10.8,1993-07-29,1995-08-07,25.0
FEMALE,144.6,53.1,1970-08-18,1995-08-09,300.0
FEMALE,101.4,17.1,1991-04-21,1995-08-09,52.0
FEMALE,997.0,452.2,1993-10-20,1995-08-09,22.0
MALE,140.1,40.4,1960-09-25,1995-08-10,419.0
FEMALE,98.1,14.5,1990-08-17,1995-08-10,60.0
MALE,144.1,64.9,1962-08-02,1995-08-08,396.0
FEMALE,154.0,61.7,1960-11-19,1995-08-08,417.0
FEMALE,99.9,14.3,1991-03-28,1995-08-08,53.0
FEMALE,136.8,44.0,1966-10-17,1995-08-08,346.0
MALE,135.0,40.4,1962-11-30,1995-08-11,393.0
FEMALE,64.1,7.0,1994-11-04,1995-08-11,9.0
FEMALE,148.0,53.5,1970-03-02,1995-08-08,305.0
MALE,78.0,9.3,1993-09-17,1995-08-08,23.0
FEMALE,143.0,55.8,1964-04-11,1995-08-09,376.0
MALE,101.6,16.4,1990-02-17,1995-08-09,66.0
FEMALE,83.9,11.4,1991-10-25,1995-08-09,46.0
MALE,76.3,10.5,1993-08-08,1995-08-09,24.0
MALE,141.1,48.5,1969-12-24,1995-05-31,305.0
FEMALE,149.0,50.8,1968-10-16,,
MALE,103.6,15.5,1990-04-01,1995-05-31,61.0
MALE,88.2,12.6,1991-09-27,1995-05-31,44.0
MALE,999.0,11.6,1993-04-13,1995-05-31,25.0
MALE,51.0,3.9,1995-05-19,1995-05-31,0.0
MALE,145.4,67.6,1966-01-20,1995-06-05,353.0
MALE,103.8,17.3,1990-01-07,1995-06-05,65.0
FEMALE,86.2,12.8,1992-10-10,1995-06-05,32.0
MALE,71.0,9.7,1993-12-05,1995-06-05,18.0
MALE,150.3,49.4,1960-06-22,1995-06-02,420.0
FEMALE,86.2,13.1,1992-12-21,1995-06-02,30.0
FEMALE,64.1,8.0,1995-01-15,1995-06-02,5.0
FEMALE,148.7,45.4,1973-08-18,1995-06-01,262.0
FEMALE,87.5,13.2,1992-05-10,1995-06-01,37.0
FEMALE,71.3,8.5,1994-02-27,1995-06-01,16.0
FEMALE,147.9,58.5,1962-06-17,1995-05-31,395.0
FEMALE,97.0,15.9,1991-04-30,1995-05-31,49.0
MALE,75.5,8.9,1993-06-09,1995-05-31,23.0
MALE,55.0,4.9,1995-04-08,1995-05-31,1.0
FEMALE,147.5,49.9,1972-10-13,1995-06-06,272.0
MALE,88.9,14.3,1992-02-14,1995-06-06,40.0
MALE,62.5,7.4,1994-11-19,1995-06-06,7.0
MALE,146.7,34.0,1970-01-19,1995-06-08,305.0
FEMALE,83.6,11.5,1991-02-13,1995-06-08,52.0
FEMALE,68.1,7.7,1994-06-20,1995-06-08,12.0
MALE,153.0,54.0,1971-05-02,1995-05-31,288.0
FEMALE,148.5,45.8,1972-06-25,1995-06-06,276.0
MALE,147.0,44.0,1977-03-30,1995-06-06,219.0
MALE,65.0,6.2,1994-05-22,1995-06-06,13.0
MALE,49.3,3.3,1995-05-22,1995-06-06,1.0
MALE,146.2,47.2,1965-03-20,1995-06-06,363.0
FEMALE,97.5,13.1,1991-08-21,1995-06-06,46.0
FEMALE,149.5,67.6,1964-10-07,1995-06-06,368.0
FEMALE,99.1,16.2,1990-11-20,1995-06-06,55.0
MALE,85.4,12.7,1992-10-28,1995-06-06,32.0
FEMALE,147.1,56.7,1966-09-05,1995-06-08,345.0
MALE,999.0,453.1,1990-09-26,,
FEMALE,86.1,12.4,1992-09-10,1995-06-08,33.0
MALE,61.1,7.4,1994-10-02,1995-06-08,8.0
MALE,147.5,55.3,1969-06-11,1995-06-06,312.0
MALE,94.2,13.5,1990-11-14,1995-06-06,55.0
FEMALE,81.0,11.0,1993-04-11,1995-06-06,26.0
FEMALE,61.2,7.7,1995-01-27,1995-06-06,5.0
FEMALE,145.3,54.0,1965-12-31,1995-06-05,354.0
FEMALE,99.2,13.5,1990-07-23,1995-06-05,59.0
MALE,80.0,9.9,1993-02-01,1995-06-05,28.0
FEMALE,142.4,49.0,1959-12-08,1995-06-08,426.0
FEMALE,95.1,14.6,1991-01-22,1995-06-08,53.0
MALE,77.5,10.0,1992-10-06,1995-06-08,32.0
MALE,62.4,6.5,1994-07-19,1995-06-08,11.0
MALE,140.6,47.6,1964-09-05,1995-06-02,369.0
FEMALE,59.0,6.5,1995-02-23,1995-06-02,4.0
MALE,148.4,56.7,1964-10-30,1995-06-01,368.0
MALE,94.3,14.3,1991-09-10,1995-06-01,45.0
MALE,79.4,11.4,1993-09-06,1995-06-01,21.0
FEMALE,149.5,71.7,1962-01-26,1995-06-05,401.0
MALE,99.0,15.0,1990-03-26,1995-06-05,63.0
FEMALE,73.1,8.9,1994-02-20,1995-06-05,16.0
FEMALE,147.0,52.6,1968-08-18,1995-06-05,322.0
MALE,51.1,3.6,1995-04-30,1995-06-05,2.0
MALE,145.9,53.5,1970-11-08,1995-06-02,295.0
FEMALE,69.1,8.9,1994-07-06,1995-06-02,11.0
MALE,156.2,54.4,1977-05-29,1995-06-05,217.0
MALE,151.0,57.6,1972-09-30,1995-06-01,273.0
FEMALE,96.6,15.5,1991-03-12,1995-06-02,51.0
FEMALE,89.8,13.4,1992-05-19,1995-06-01,37.0
MALE,146.5,49.4,1968-04-27,1995-05-31,325.0
FEMALE,94.8,13.9,1991-09-09,1995-05-31,44.0
MALE,73.0,7.4,1994-02-05,1995-05-31,15.0
MALE,152.3,53.5,1972-08-26,1995-06-06,274.0
MALE,67.0,8.6,1994-11-12,1995-06-06,7.0
FEMALE,143.7,64.4,1973-10-01,1995-06-05,260.0
MALE,78.7,10.7,1993-06-05,1995-06-05,24.0
MALE,63.0,6.5,1995-02-17,1995-06-06,4.0
MALE,150.7,59.0,1972-02-13,1995-06-05,280.0
FEMALE,89.9,13.2,1992-06-23,1995-06-05,36.0
FEMALE,74.0,9.0,1993-09-28,1995-06-05,21.0
FEMALE,150.3,56.2,1963-08-18,1995-06-01,382.0
FEMALE,155.4,66.2,1967-11-13,1995-06-01,331.0
FEMALE,98.4,15.3,1991-01-16,1995-06-01,53.0
MALE,149.9,43.1,1960-03-07,1995-06-02,423.0
FEMALE,146.5,54.4,1960-11-18,1995-05-31,414.0
FEMALE,136.1,57.2,1966-10-06,1995-06-02,344.0
FEMALE,95.7,14.8,1990-09-15,1995-06-02,57.0
MALE,152.5,46.7,1961-09-09,1995-06-06,405.0
FEMALE,96.6,14.2,1991-04-21,1995-06-06,50.0
FEMALE,70.1,8.0,1994-05-07,1995-06-06,13.0
MALE,144.8,42.2,1974-11-03,1995-06-01,247.0
FEMALE,83.3,11.5,1993-07-14,1995-06-01,23.0
MALE,148.8,59.0,1971-12-18,1995-06-01,282.0
MALE,147.6,36.7,1967-07-25,1995-06-06,335.0
MALE,134.5,33.6,1971-01-26,1995-06-01,293.0
MALE,155.1,54.0,1972-10-28,1995-06-06,272.0
MALE,99.3,15.7,1991-03-19,1995-06-06,51.0
FEMALE,78.4,9.6,1993-09-19,1995-06-06,21.0
MALE,145.5,43.5,1963-10-21,1995-05-31,379.0
MALE,82.5,10.9,1992-01-13,1995-05-31,40.0
FEMALE,74.1,9.6,1994-01-07,1995-05-31,16.0
MALE,146.8,45.8,1974-02-27,1995-06-06,256.0
FEMALE,150.1,48.5,1967-09-03,1995-06-06,333.0
FEMALE,66.5,7.1,1994-11-07,1995-06-06,7.0
FEMALE,148.1,61.7,1970-01-30,1995-06-06,305.0
MALE,84.4,11.6,1992-08-28,1995-06-06,34.0
MALE,53.6,5.7,1995-04-08,1995-06-06,2.0
MALE,150.6,45.8,1977-02-14,1995-06-05,220.0
FEMALE,68.7,7.6,1994-07-30,1995-06-05,11.0
MALE,146.9,48.1,1975-10-16,1995-06-05,236.0
MALE,138.5,54.4,1960-05-14,1995-06-08,421.0
MALE,86.1,12.3,1992-03-30,1995-06-08,39.0
FEMALE,142.3,46.7,1964-11-01,1995-06-02,367.0
FEMALE,999.0,453.1,,,
MALE,92.2,13.6,1992-04-07,1995-06-08,38.0
MALE,71.0,9.3,1994-06-04,1995-06-08,12.0
MALE,149.6,57.6,1968-05-13,1995-06-05,325.0
MALE,90.7,12.4,1992-02-24,1995-06-05,40.0
FEMALE,149.0,51.3,1963-01-02,1995-08-23,391.0
FEMALE,88.2,14.5,1992-04-29,1995-08-23,40.0
FEMALE,59.7,6.3,1995-05-24,1995-08-23,3.0
FEMALE,152.0,67.6,1962-08-10,1995-08-21,396.0
MALE,101.1,16.8,1990-04-22,1995-08-21,64.0
MALE,90.5,14.5,1992-03-28,1995-08-21,41.0
MALE,75.0,9.9,1994-04-14,1995-08-21,16.0
FEMALE,140.3,52.6,1959-10-30,1995-08-21,430.0
MALE,87.4,12.8,1992-08-05,1995-08-21,36.0
FEMALE,75.2,9.8,1993-08-22,1995-08-21,24.0
FEMALE,51.0,4.4,1995-06-15,1995-08-21,2.0
MALE,141.7,44.0,1968-12-02,1995-08-23,320.0
MALE,139.5,41.3,1970-10-16,1995-08-23,298.0
MALE,138.2,38.1,1972-10-25,1995-08-22,274.0
FEMALE,143.9,49.4,1968-12-16,1995-08-22,320.0
MALE,90.6,14.5,1992-05-03,1995-08-22,39.0
FEMALE,72.5,9.2,1993-12-09,1995-08-22,20.0
MALE,150.0,58.1,1972-07-02,1995-08-23,277.0
FEMALE,147.1,43.5,1970-11-25,1995-08-22,297.0
FEMALE,999.0,453.1,1991-04-26,,
MALE,84.7,453.1,1992-10-28,,
FEMALE,67.3,7.0,1994-09-15,1995-08-22,11.0
FEMALE,141.0,40.8,1973-12-16,1995-08-22,260.0
MALE,142.0,39.5,1976-10-07,1995-08-22,226.0
FEMALE,152.0,53.5,1976-01-25,1995-08-23,235.0
MALE,140.0,50.8,1967-03-04,1995-08-24,341.0
FEMALE,85.0,13.0,1992-08-22,1995-08-24,36.0
MALE,78.4,9.5,1994-01-05,1995-08-24,19.0
MALE,138.8,53.1,1964-09-02,1995-08-21,371.0
FEMALE,91.6,13.6,1991-06-24,1995-08-21,50.0
FEMALE,77.6,10.3,1993-05-28,1995-08-21,27.0
FEMALE,55.3,6.4,1995-05-31,1995-08-21,3.0
FEMALE,142.7,62.1,1973-03-21,1995-08-23,269.0
FEMALE,80.4,11.2,1992-11-08,1995-08-23,33.0
MALE,148.0,44.5,1969-09-21,1995-08-23,311.0
FEMALE,72.1,9.4,1994-06-08,1995-08-23,14.0
MALE,147.0,54.4,1965-09-06,1995-08-18,359.0
MALE,55.4,5.6,1995-07-06,1995-08-18,1.0
FEMALE,154.4,52.2,1971-10-16,1995-08-18,286.0
MALE,142.0,60.8,1966-11-01,1995-08-18,345.0
MALE,82.1,11.5,1993-11-03,1995-08-18,21.0
MALE,148.5,71.2,1969-10-25,1995-08-18,310.0
MALE,92.3,13.6,1991-07-23,1995-08-18,49.0
FEMALE,68.8,8.2,1994-10-25,1995-08-18,10.0
MALE,143.2,48.1,1964-01-22,1995-08-23,379.0
FEMALE,102.4,15.9,1990-05-28,1995-08-23,63.0
FEMALE,137.4,49.0,1966-12-10,1995-08-23,344.0
MALE,82.7,10.0,1993-07-17,1995-08-23,25.0
FEMALE,144.2,68.9,1971-04-23,1995-08-23,292.0
FEMALE,999.0,453.1,1990-10-21,,
FEMALE,145.0,64.0,1972-04-16,1995-08-23,280.0
MALE,146.1,50.3,1975-10-08,1995-08-23,238.0
FEMALE,144.7,64.0,1965-06-25,1995-08-23,362.0
FEMALE,140.5,44.0,1961-08-12,1995-08-23,408.0
FEMALE,138.9,39.9,1969-11-07,1995-08-23,309.0
MALE,140.0,41.3,1976-12-14,1995-08-23,224.0
FEMALE,999.0,453.1,1966-05-07,,
MALE,100.7,18.6,1990-08-19,1995-08-23,60.0
MALE,145.5,47.6,1972-05-18,1995-06-18,277.0
MALE,145.0,41.3,1975-05-07,1995-08-18,243.0
MALE,156.2,62.6,1969-07-22,1995-08-21,313.0
MALE,96.0,16.3,1992-02-24,1995-08-21,42.0
MALE,145.4,59.9,1967-07-05,1995-08-23,337.0
FEMALE,69.0,8.7,1994-08-21,1995-08-23,12.0
MALE,143.6,47.2,1971-06-23,1995-08-21,290.0
FEMALE,103.7,453.1,1990-10-06,1995-08-21,58.0
FEMALE,999.0,453.1,1993-01-10,,
MALE,66.0,7.9,1994-12-06,1995-08-21,8.0
FEMALE,149.4,46.3,1973-12-01,1995-08-21,260.0
FEMALE,141.1,48.1,1971-11-25,1995-08-21,285.0
FEMALE,90.7,13.5,1991-07-30,1995-08-21,49.0
FEMALE,72.5,9.0,1993-08-17,1995-08-21,24.0
MALE,50.0,3.6,1995-08-04,1995-08-21,0.0
FEMALE,150.3,48.5,1973-04-19,1995-08-24,268.0
MALE,152.4,51.3,1976-01-30,1995-08-24,235.0
FEMALE,146.6,70.3,1962-07-29,1995-08-23,397.0
FEMALE,86.0,12.9,1991-12-12,1995-08-23,44.0
MALE,155.2,65.3,1960-08-16,1995-08-21,420.0
FEMALE,95.1,15.8,1991-11-08,1995-08-21,45.0
FEMALE,138.5,46.3,1972-03-27,1995-08-21,281.0
FEMALE,139.0,48.5,1974-01-21,1995-08-21,259.0
MALE,146.0,49.4,1965-07-06,1995-08-21,361.0
FEMALE,151.9,46.7,1964-02-10,1995-08-23,378.0
MALE,89.7,15.0,1990-07-17,1995-08-23,61.0
FEMALE,81.4,11.0,1992-10-29,1995-08-23,34.0
MALE,66.1,8.1,1994-09-26,1995-08-23,11.0
MALE,154.9,71.2,1967-04-13,1995-08-24,340.0
FEMALE,104.5,16.8,1990-03-29,1995-08-24,65.0
FEMALE,85.0,10.8,1993-03-16,1995-08-24,29.0
MALE,142.2,42.2,1975-12-12,1995-08-23,236.0
MALE,139.3,46.7,,1995-08-24,
FEMALE,80.6,10.7,1993-05-05,1995-08-24,27.0
MALE,72.1,8.3,1994-05-02,1995-08-24,15.0
FEMALE,146.0,64.9,1965-03-11,1995-08-23,365.0
FEMALE,105.6,16.8,1991-02-13,1995-08-23,54.0
FEMALE,91.3,12.8,1992-08-23,1995-08-23,36.0
FEMALE,64.4,7.3,1994-12-07,1995-08-23,8.0
MALE,140.5,46.7,1960-03-08,1995-08-24,425.0
FEMALE,96.0,15.0,1991-01-18,1995-08-24,55.0
MALE,81.1,11.7,1992-09-10,1995-08-24,35.0
FEMALE,66.5,8.5,1994-04-04,1995-08-24,16.0
MALE,143.0,54.4,1971-01-31,1995-08-21,295.0
FEMALE,999.0,453.1,1994-02-13,,
MALE,59.0,6.7,1995-05-19,1995-08-21,3.0
MALE,146.0,52.6,1976-03-28,1995-08-21,233.0
FEMALE,143.0,49.9,1972-09-16,1995-08-21,275.0
FEMALE,149.4,52.2,1975-04-25,1995-08-23,244.0
FEMALE,149.3,51.7,1976-11-22,1995-08-23,225.0
FEMALE,150.0,51.7,1974-10-21,1995-08-21,250.0
MALE,147.5,48.5,1966-09-01,1995-09-27,348.0
FEMALE,999.0,453.1,1993-06-17,,
MALE,59.0,6.4,1995-06-03,1995-09-27,3.0
MALE,155.7,48.5,1973-01-31,1995-09-26,272.0
FEMALE,144.9,44.5,1959-12-21,1995-09-27,429.0
MALE,162.0,54.9,1973-05-26,1995-09-25,268.0
MALE,89.0,12.3,1994-06-03,1995-09-25,15.0
MALE,145.9,46.7,1964-11-24,1995-09-26,370.0
MALE,91.2,13.8,1990-09-16,1995-09-26,60.0
FEMALE,86.5,13.3,1992-07-29,1995-09-26,38.0
FEMALE,70.0,8.8,1994-07-10,1995-09-26,14.0
FEMALE,145.5,61.2,1959-10-30,1995-09-21,431.0
FEMALE,88.0,12.4,1990-06-11,1995-09-21,63.0
MALE,82.2,11.3,1991-12-22,1995-09-21,45.0
MALE,152.6,45.6,1970-01-17,1995-09-25,308.0
FEMALE,100.4,16.4,1991-04-07,1995-09-25,53.0
FEMALE,84.6,12.0,1992-12-25,1995-09-25,33.0
FEMALE,71.1,8.3,1994-10-09,1995-09-25,11.0
MALE,162.4,56.7,1972-12-26,1995-09-21,273.0
FEMALE,152.0,48.1,1972-01-25,1995-09-26,284.0
FEMALE,101.8,15.0,1990-01-18,1995-09-26,68.0
FEMALE,94.7,14.3,1991-05-06,1995-09-26,52.0
MALE,999.0,453.1,1993-01-26,1995-09-26,32.0
MALE,159.5,50.8,1972-03-15,1995-09-25,282.0
MALE,84.5,11.4,1993-11-21,1995-09-25,22.0
MALE,48.2,3.5,1995-09-17,1995-09-25,0.0
MALE,147.5,61.7,1962-06-28,1995-09-25,399.0
MALE,999.0,453.1,1990-12-22,1995-09-25,57.0
MALE,96.0,14.8,1992-03-01,1995-09-25,42.0
MALE,76.4,9.6,1993-10-13,1995-09-25,23.0
FEMALE,146.9,35.8,1971-07-03,1995-09-25,290.0
FEMALE,151.6,42.2,1977-03-08,1995-09-25,222.0
MALE,152.5,39.5,1966-01-25,1995-09-25,356.0
MALE,76.0,8.9,1994-03-17,1995-09-25,18.0
FEMALE,157.8,49.4,1969-12-08,1995-09-21,309.0
MALE,80.0,10.6,1993-02-21,1995-09-21,31.0
MALE,58.0,6.7,1995-04-22,1995-09-21,5.0
MALE,148.5,47.2,1976-12-07,1995-09-26,225.0
FEMALE,152.5,52.2,1965-01-31,1995-09-25,368.0
FEMALE,97.7,16.0,1991-03-23,1995-09-25,54.0
FEMALE,84.0,10.9,1992-09-11,1995-09-25,36.0
FEMALE,50.0,3.8,1995-08-05,1995-09-25,1.0
FEMALE,148.5,50.3,1971-04-09,1995-09-21,293.0
MALE,85.0,12.0,1993-06-28,1995-09-21,27.0
FEMALE,156.2,67.1,1962-06-23,1995-09-27,399.0
MALE,102.5,15.5,1990-06-02,1995-09-27,63.0
MALE,77.7,11.5,1994-05-23,1995-09-27,16.0
FEMALE,153.0,55.3,1960-03-08,1995-09-27,426.0
FEMALE,104.0,17.3,1990-04-30,1995-05-27,61.0
MALE,86.6,11.9,1993-10-02,1995-09-27,23.0
MALE,152.8,60.3,1968-02-29,1995-09-27,331.0
MALE,104.6,18.6,1991-03-15,1995-09-27,54.0
FEMALE,90.8,15.0,1992-04-17,1995-09-27,41.0
FEMALE,90.4,15.0,1993-05-29,1995-09-27,28.0
FEMALE,151.0,51.3,1961-11-20,1995-09-27,406.0
FEMALE,144.3,37.6,1974-05-17,1995-09-26,256.0
FEMALE,97.4,13.3,1990-03-21,1995-09-26,66.0
MALE,84.2,13.7,1992-06-13,1995-09-26,39.0
FEMALE,68.0,8.8,1994-06-20,1995-09-26,15.0
MALE,144.0,56.7,1971-04-24,1995-09-26,293.0
MALE,103.6,16.7,1990-12-01,1995-09-26,57.0
MALE,152.0,48.1,1977-08-23,1995-09-27,217.0
FEMALE,147.0,49.9,1977-09-15,1995-09-26,216.0
FEMALE,148.8,42.2,1975-05-10,1995-09-28,244.0
FEMALE,77.1,9.2,1994-03-24,1995-09-28,18.0
MALE,150.0,52.2,1977-01-23,1995-09-28,224.0
MALE,150.7,77.1,1964-11-07,1995-09-26,370.0
MALE,145.0,50.4,1975-05-06,1995-09-26,244.0
MALE,101.0,16.0,1990-05-25,1995-09-26,64.0
MALE,77.4,9.4,1993-11-10,1995-09-26,22.0
MALE,157.7,57.6,1961-04-23,1995-09-27,413.0
FEMALE,83.0,12.9,1993-05-25,1995-09-27,28.0
FEMALE,141.5,49.9,1973-05-12,1995-09-28,268.0
FEMALE,91.8,14.5,1992-01-06,1995-09-28,44.0
FEMALE,148.0,40.8,1971-11-04,1995-09-27,286.0
MALE,155.2,64.4,1967-01-11,1995-09-28,344.0
MALE,84.0,11.0,1992-08-31,1995-09-28,37.0
FEMALE,135.0,62.1,1973-10-17,1995-09-21,263.0
MALE,154.9,60.3,1974-03-21,1995-09-28,258.0
FEMALE,54.0,6.4,1995-07-07,1995-09-28,2.0
FEMALE,150.0,51.7,1960-09-18,1995-09-25,420.0
FEMALE,100.8,18.1,1990-02-27,1995-09-25,67.0
MALE,77.2,9.5,1993-06-28,1995-09-25,27.0
FEMALE,147.3,59.4,,1995-05-25,
FEMALE,74.8,10.0,1993-10-03,1995-05-25,19.0
FEMALE,140.8,40.8,,1995-05-23,
MALE,88.0,15.3,1991-04-14,1995-05-23,49.0
MALE,76.7,8.7,1993-06-22,1995-05-23,23.0
FEMALE,143.0,40.8,,1995-05-26,
MALE,70.5,8.0,,1995-05-26,
MALE,146.2,59.4,,1995-05-23,
MALE,95.1,14.2,1990-08-13,1995-05-23,57.0
MALE,146.7,46.3,1961-09-24,1995-05-23,404.0
MALE,74.3,9.2,1993-10-11,1995-05-23,19.0
MALE,135.2,40.4,,1995-05-23,
MALE,83.2,11.3,1993-03-28,1995-05-23,26.0
MALE,73.1,8.7,1994-05-03,1995-05-23,12.0
MALE,32.3,3.2,1995-05-20,1995-05-23,0.0
MALE,153.0,53.5,,1995-05-24,
FEMALE,90.8,12.5,1992-02-11,1995-05-24,39.0
FEMALE,143.6,45.8,,1995-05-22,
MALE,92.0,14.5,1991-05-07,1995-05-22,48.0
FEMALE,81.6,453.1,1992-09-08,1995-05-22,32.0
FEMALE,66.6,8.6,1994-09-09,1995-05-22,8.0
MALE,140.6,43.5,1976-11-15,1995-05-22,222.0
MALE,46.6,2.7,1995-05-09,1995-05-22,0.0
MALE,139.5,39.1,,1995-05-22,
FEMALE,69.8,7.9,1994-02-21,1995-05-22,15.0
FEMALE,145.2,41.3,,1995-05-23,
MALE,86.5,11.8,1992-02-09,1995-05-23,39.0
MALE,71.2,7.7,1994-09-15,1995-05-23,8.0
MALE,140.5,50.3,1976-07-30,1995-05-23,226.0
FEMALE,145.3,43.1,1968-03-03,1995-05-23,326.0
FEMALE,95.8,14.3,1991-12-24,1995-05-23,41.0
FEMALE,77.5,9.8,1993-04-27,1995-05-23,25.0
FEMALE,148.3,47.2,,1995-05-24,
MALE,96.3,14.4,1990-07-16,1995-05-24,58.0
MALE,58.1,6.1,1995-02-04,1995-05-24,3.0
MALE,143.2,43.5,,1995-05-26,
MALE,81.7,11.8,1990-03-21,1995-05-26,62.0
FEMALE,78.1,10.3,1992-10-18,1995-05-26,31.0
FEMALE,145.0,58.1,1960-01-14,1995-05-26,424.0
